from,to,relation,weight
EsFiPr,Tri,1,99
PlPr,Tri,1,99
CoOf,Tri,1,99
SvTeAb,Tri,1,99
ArFrCi,Tri,1,99
NoFi,Tri,1,99
He,Tri,1,99
BoCaFiSa,Tri,1,99
SoFi,Tri,1,99
SoPaDePr,Tri,2,1
Fi,Tri,2,1
NoFiTv,EsFiPr,2,2
NoFiTv,PlPr,2,1
NoFiTv,CoOf,2,2
NoFiTv,SvTeAb,2,2
NoFiTv,ArFrCi,2,2
NoFiTv,NoFi,2,1
NoFiTv,He,2,1
NoFiTv,BoCaFiSa,2,1
NoFiTv,SoFi,2,1
NoFiTv,SoPaDePr,2,1
NoFiTv,Tri,2,1
GrFiCe,Tri,2,1
MeBe,Tri,2,1
MoFiHaSc,Tri,2,1
FiIVä,Tri,2,1
DeDaFi,Tri,2,1
BrFiIn,Tri,2,1
SvFi,Tri,2,1
CrEuMe,Tri,2,1
Eu,Tri,2,1
phbo,Tri,1,99
erhe,Tri,1,99
clkö,Tri,1,99
phbo,erhe,3,99
erhe,phbo,3,99
clkö,erhe,3,99
clkö,phbo,3,99
phbo,clkö,3,99
erhe,clkö,3,99
Fi,EsFiPr,2,2
GrFiCe,EsFiPr,2,1
MeBe,EsFiPr,2,2
MoFiHaSc,EsFiPr,2,1
FiIVä,EsFiPr,2,1
DeDaFi,EsFiPr,2,1
BrFiIn,EsFiPr,2,1
SvFi,EsFiPr,2,2
CrEuMe,EsFiPr,2,2
Eu,EsFiPr,2,2
Fi,PlPr,2,2
GrFiCe,PlPr,2,1
MeBe,PlPr,2,2
MoFiHaSc,PlPr,2,1
FiIVä,PlPr,2,1
DeDaFi,PlPr,2,1
BrFiIn,PlPr,2,1
SvFi,PlPr,2,1
CrEuMe,PlPr,2,2
Eu,PlPr,2,1
Fi,CoOf,2,2
GrFiCe,CoOf,2,1
MeBe,CoOf,2,2
MoFiHaSc,CoOf,2,1
FiIVä,CoOf,2,1
DeDaFi,CoOf,2,1
BrFiIn,CoOf,2,1
SvFi,CoOf,2,2
CrEuMe,CoOf,2,2
Eu,CoOf,2,2
Fi,SvTeAb,2,2
GrFiCe,SvTeAb,2,1
MeBe,SvTeAb,2,2
MoFiHaSc,SvTeAb,2,1
FiIVä,SvTeAb,2,1
DeDaFi,SvTeAb,2,1
BrFiIn,SvTeAb,2,1
SvFi,SvTeAb,2,2
CrEuMe,SvTeAb,2,2
Eu,SvTeAb,2,2
Fi,ArFrCi,2,4
GrFiCe,ArFrCi,2,1
MeBe,ArFrCi,2,3
MoFiHaSc,ArFrCi,2,1
FiIVä,ArFrCi,2,1
DeDaFi,ArFrCi,2,1
BrFiIn,ArFrCi,2,1
SvFi,ArFrCi,2,2
CrEuMe,ArFrCi,2,2
Eu,ArFrCi,2,4
Fi,NoFi,2,1
GrFiCe,NoFi,2,1
MeBe,NoFi,2,1
MoFiHaSc,NoFi,2,1
FiIVä,NoFi,2,2
DeDaFi,NoFi,2,2
BrFiIn,NoFi,2,1
SvFi,NoFi,2,1
CrEuMe,NoFi,2,2
Eu,NoFi,2,2
Fi,He,2,1
GrFiCe,He,2,1
MeBe,He,2,1
MoFiHaSc,He,2,1
FiIVä,He,2,1
DeDaFi,He,2,1
