from,to,relation
PiFi,olpe,3
PiFi,rebu,3
sasa,PiFi,3
mime,PiFi,3
oske,PiFi,3
takl,PiFi,3
jaja,PiFi,3
jodo,PiFi,3
maad,PiFi,3
olpe,PiFi,3
rebu,PiFi,3
bioa,Tou,1
phav,Tou,1
adpi,Tou,1
bedr,Tou,1
rasi,Tou,1
alka,Tou,1
mabo,Tou,1
MaFil,Tou,1
RoPr,Tou,1
Pin,Tou,1
Ag,Tou,1
LeFiDeLe,Tou,1
4PrFi,Tou,1
MitMe,Tou,2
Eu,Tou,2
bioa,phav,3
bioa,adpi,3
bioa,bedr,3
bioa,rasi,3
bioa,alka,3
bioa,mabo,3
phav,bioa,3
adpi,bioa,3
bedr,bioa,3
rasi,bioa,3
alka,bioa,3
mabo,bioa,3
phav,adpi,3
phav,bedr,3
phav,rasi,3
phav,alka,3
phav,mabo,3
adpi,phav,3
bedr,phav,3
rasi,phav,3
alka,phav,3
mabo,phav,3
adpi,bedr,3
adpi,rasi,3
adpi,alka,3
adpi,mabo,3
bedr,adpi,3
rasi,adpi,3
alka,adpi,3
mabo,adpi,3
bedr,rasi,3
bedr,alka,3
bedr,mabo,3
rasi,bedr,3
alka,bedr,3
mabo,bedr,3
rasi,alka,3
rasi,mabo,3
alka,rasi,3
mabo,rasi,3
mabo,alka,3
alka,mabo,3
MitMe,MaFil,2
MitMe,RoPr,2
MitMe,Pin,2
MitMe,Ag,2
MitMe,LeFiDeLe,2
MitMe,4PrFi,2
Eu,MaFil,2
Eu,RoPr,2
Eu,Pin,2
Eu,Ag,2
Eu,LeFiDeLe,2
Eu,4PrFi,2
MaFil,bioa,3
MaFil,phav,3
MaFil,adpi,3
MaFil,bedr,3
MaFil,rasi,3
MaFil,alka,3
MaFil,mabo,3
bioa,MaFil,3
phav,MaFil,3
adpi,MaFil,3
bedr,MaFil,3
rasi,MaFil,3
alka,MaFil,3
mabo,MaFil,3
RoPr,bioa,3
RoPr,phav,3
RoPr,adpi,3
RoPr,bedr,3
RoPr,rasi,3
RoPr,alka,3
RoPr,mabo,3
bioa,RoPr,3
phav,RoPr,3
adpi,RoPr,3
bedr,RoPr,3
rasi,RoPr,3
alka,RoPr,3
mabo,RoPr,3
Pin,bioa,3
Pin,phav,3
Pin,adpi,3
Pin,bedr,3
Pin,rasi,3
Pin,alka,3
Pin,mabo,3
bioa,Pin,3
phav,Pin,3
adpi,Pin,3
bedr,Pin,3
rasi,Pin,3
alka,Pin,3
mabo,Pin,3
Ag,bioa,3
Ag,phav,3
Ag,adpi,3
Ag,bedr,3
Ag,rasi,3
Ag,alka,3
Ag,mabo,3
bioa,Ag,3
phav,Ag,3
adpi,Ag,3
bedr,Ag,3
rasi,Ag,3
alka,Ag,3
mabo,Ag,3
LeFiDeLe,bioa,3
LeFiDeLe,phav,3
LeFiDeLe,adpi,3
LeFiDeLe,bedr,3
LeFiDeLe,rasi,3
LeFiDeLe,alka,3
LeFiDeLe,mabo,3
bioa,LeFiDeLe,3
phav,LeFiDeLe,3
adpi,LeFiDeLe,3
bedr,LeFiDeLe,3
rasi,LeFiDeLe,3
alka,LeFiDeLe,3
mabo,LeFiDeLe,3
4PrFi,bioa,3
4PrFi,phav,3
4PrFi,adpi,3
4PrFi,bedr,3
4PrFi,rasi,3
4PrFi,alka,3
4PrFi,mabo,3
bioa,4PrFi,3
phav,4PrFi,3
